Date,total,SP500,ACN,ADBE,DEO,EA,FB,GOOG,GRMN,INTU,MSFT
2020-04-17,3121.2957216084824,2874.56005859375,407.14987739828723,502.822163352843,123.63548905011157,217.41708598649222,272.14952620570756,362.4581612204933,205.07404995622815,487.20865774171904,543.3807106966001
2020-04-20,3094.5144450059406,2823.159912109375,406.33601748337844,503.94733525429626,120.68257091310448,217.90800136695609,270.63117361775204,357.7581346378674,199.92909758623017,484.7116850470404,532.6104290993151
2020-04-21,2963.3240444305993,2736.56005859375,386.57033109198227,480.72844629042964,116.32521777644604,213.86741010420744,259.3346266564474,343.5592031406415,194.90901141605073,457.4466415569121,510.5831563974823
2020-04-22,3071.396407685954,2799.31005859375,400.6853380994583,492.09677613732975,119.16109508442001,216.32197260131005,276.7653078790747,356.7977866174303,197.20675528470858,484.4362918867688,527.925084095453
2020-04-23,3062.029738667417,2797.800048828125,402.057300756731,490.05106985248636,118.81898419166875,216.11427818669904,281.0926220220367,360.49795206320726,198.05593309562144,473.8056676509891,521.5359308479769
2020-04-24,3112.408149496358,2836.739990234375,408.0102902280655,502.8075814246655,119.7912885153935,219.6072983516399,288.5932875134525,361.3453118790354,197.10685089196505,484.0874418733708,531.0587988187693
2020-04-27,3143.7272714396013,2878.47998046875,417.24199581647,509.23696314548147,122.84323802992402,219.0597416590488,284.6911102416603,360.37648198544184,201.65239596031628,499.08776832483807,529.5375762764205
2020-04-28,3076.263631483101,2863.389892578125,414.7538631568741,487.24554254557336,123.95959049135315,210.24222207589747,277.72187742331766,348.45414041007064,208.29589516665288,488.9529078087091,516.6375924046528
2020-04-29,3205.9829881804353,2939.510009765625,436.1473048604925,510.21600361379177,124.00460725153408,212.94223506062366,294.84889276199823,378.90540972905234,207.07209970146994,502.0254261071131,539.8210090943594
2020-04-30,3223.016775422562,2912.429931640625,430.63617777396684,516.747681797113,124.82385184320637,215.73665983570638,310.8219684743924,380.9334393924311,202.70138255671625,495.37900969380246,545.2366040552267
2020-05-01,3148.546664404903,2830.7099609375,418.7767517461673,502.4276486171044,123.45543574657435,213.86741010420744,307.11718445286544,373.0106113227742,199.3296712297689,479.4422904662498,531.1196607191911
2020-05-04,3193.174167365941,2842.739990234375,417.4745474963895,510.128289079464,123.69850152461566,220.58912911256763,311.6570438631905,374.75901500526237,199.10490063720684,491.6518728416948,544.1108678055497
2020-05-05,3241.5372866279477,2868.43994140625,422.33457245802623,520.3861181391935,121.33977165274923,225.83810197953625,314.40528150869636,381.6254361170271,201.70235768409535,503.9532902913382,549.9523567972858
2020-05-06,3245.638697887552,2848.419921875,419.45113032849093,529.7233236294278,123.14033216249436,217.7380630253577,316.5309658645453,380.5493070800881,196.63232884495142,506.5053416180711,555.3679053341252
2020-05-07,3292.5561097859063,2881.18994140625,435.10089326566424,535.9481570182857,123.46443360373594,220.5324878004404,320.7671593909236,387.6840794876939,194.90901141605073,515.5569516830237,558.592936120088
2020-05-08,3315.2687426851758,2929.800048828125,438.47267973006853,537.0148674278712,125.23798680480981,220.1926255224603,322.42218131964376,392.1496477879455,203.15092374184036,514.7490943921191,561.878735958417
2020-05-11,3345.617160190894,2930.18994140625,436.58913176289667,542.7282630972551,126.14726491684395,221.60871594650794,323.6823935796116,396.3553811446717,201.87718560769292,528.4826123063368,568.1462118290773
2020-05-12,3289.784929740156,2870.1201171875,431.86862361624975,533.4933094764735,126.30932250605801,219.72059538111108,319.0058879967438,388.5822615841426,198.35562721903753,517.1726662648331,555.2766356955066
2020-05-13,3233.0434325671245,2820.0,420.8928513932586,523.9368845399987,123.96858834851473,220.72129697593675,311.4141250569662,381.12266101797087,195.23368640135632,508.87383485873085,546.8795039743912
2020-05-14,3234.1146207327947,2852.5,418.54423554865247,519.3048258014304,121.17772780072168,221.13668580515872,314.0104950081659,383.043357058845,193.06082778733153,514.5838584959561,549.2526074265331
2020-05-15,3287.9536928567086,2863.699951171875,427.589942372007,533.785527749707,121.19572351504486,223.04367720445353,320.19020116189137,387.861991949025,194.8840305541612,522.1483454954418,557.2542528549766
2020-05-18,3347.995816972885,2953.909912109375,448.2160061107768,537.6870185086656,126.12926920252079,221.13668580515872,323.69759193315315,390.89836462240925,204.52458532354592,533.1277637134579,562.5785317531974
2020-05-19,3342.3707403701515,2922.93994140625,442.0305004419275,543.8680169268858,125.31900873082358,223.81781355077027,329.3003166896245,387.9453280767454,204.9242028945201,526.4813473001471,558.6842057587068
2020-05-20,3420.2518748511043,2971.610107421875,453.86665001229227,560.5698096356087,125.90419913880265,225.72481935528177,349.175546505589,397.3326584322626,209.46974796287134,533.3480782416751,564.8603655667206
2020-05-21,3403.8154758317755,2948.510009765625,449.9600372629588,558.4364334094902,125.45405901136637,221.5898307073933,351.3316044002992,396.225463672909,210.29392585708013,532.4484419077338,558.0756796025449
2020-05-22,3415.429507294366,2955.449951171875,450.4483815978278,562.9516137573756,124.84186129471604,226.23460556964358,356.6762119970048,398.37775622594614,209.51969063183586,528.0603054398124,558.3190807802041
2020-05-26,3394.2224358326553,2991.77001953125,456.7036101917674,550.3412336183394,127.23661006960182,220.2303815954729,352.56146628962773,400.2419409249362,216.36297956884496,518.1274372619905,552.4167763120741
2020-05-27,3402.4238242705264,3036.1298828125,464.9121806427783,548.2078573922208,129.72137862766294,221.6275867804059,347.91531107739934,400.4735374370992,220.10930855006242,516.3097303418741,553.1469334210237
2020-05-28,3426.047885984378,3029.72998046875,468.95834568950625,555.0171273275454,130.31556689280362,229.1234277298661,342.3277846744695,400.1600184427419,227.05252093462965,521.1935744982844,551.8995197945311
2020-05-29,3453.4898619394685,3044.31005859375,468.84206984954653,564.9096501009437,126.58840718711866,232.01224989008864,341.7659784625351,403.60314175688643,225.20431825109588,533.0359846704212,557.5280617708328
2020-06-01,3474.2231843425743,3055.72998046875,472.9347523287393,569.4102039275991,128.77608161260946,231.8234407145923,352.12115423313827,404.42222866219294,226.12841959286277,532.3566628646972,556.2502404061431
2020-06-02,3488.7992463093415,3080.820068359375,478.51563782275986,570.5207493078224,128.14588818163597,231.0304335343776,353.3510161224667,406.5123897704009,230.8737734467011,527.2708263699798,562.5785317531974
2020-06-03,3496.5832664645113,3122.8701171875,482.00370012712386,569.7609282857527,131.3328879767093,222.66605885346084,349.4640372042161,405.71023213224817,239.06574310352627,532.6320560249688,563.9476227565058
2020-06-04,3439.927154756908,3112.35009765625,472.28365020385036,563.7406432288528,131.26986176501867,221.2499684294132,343.58799693443734,398.87487674289804,232.94672766798237,519.4493804624562,556.5240493219992
2020-06-05,3511.416514581282,3193.929931640625,484.8174193315689,574.1153506792651,132.80033545086474,223.40242472154827,350.39023320959785,406.27796596718576,241.08875465584302,528.9783199948257,569.5457105705826
2020-06-08,3550.3568184450605,3232.389892578125,491.30519960542796,581.2461365233356,133.0794338691119,225.6492928040399,351.34677958561895,408.5997235875567,248.00698617852072,538.0483082808504,573.0749580105985
2020-06-09,3553.0537190827117,3207.179931640625,482.1432169421137,580.340184068123,131.0087865354677,228.59475627638966,362.3852093871577,411.29716612627334,245.08483509151205,534.7434782952672,577.4560863604075
2020-06-10,3606.6845358461287,3190.139892578125,487.00324190375045,594.455624323121,131.88205948166902,235.65632315751324,359.4396016596085,414.03412178140184,242.11276039035346,543.2259238186044,598.8748793301063
2020-06-11,3420.096753219033,3002.10009765625,455.6571985969391,566.4731717087732,124.31969709842757,231.1437161586321,340.7638601941112,396.5191916299012,228.3262590687771,510.1773998381245,566.7162589253472
2020-06-12,3481.786691928154,3041.31005859375,468.7723114420516,594.0464830661524,126.97552110286433,230.29406766629018,347.06503733505974,399.15733001484074,228.95064723231334,515.3366371548065,571.1886569137749
2020-06-15,3498.523148056849,3066.590087890625,464.58662958033386,586.4480944732455,126.15627651119205,238.88500759571588,353.01697669965876,401.0412712720368,233.69600108615168,519.8533091079086,574.8395817306065
2020-06-16,3565.0873117027186,3124.739990234375,475.30660914837546,601.5425751965539,129.33426471191729,237.39340502564306,357.7997780844299,407.50097622220045,237.4423300673691,529.8412559177848,588.9261173284451
2020-06-17,3575.803796373274,3113.489990234375,477.16691614051723,604.201971070324,128.39796555402538,241.88712678540958,357.61758318770626,409.8735906023511,239.6901312670625,526.0039618015685,590.9645499643092
2020-06-18,3583.4671544541425,3115.340087890625,471.8883052515064,614.3867121169557,126.75946263349428,244.22840665825774,358.24011330914124,405.5915893455349,237.71706238371024,527.3626614441782,597.2928413113635
2020-06-19,3600.09934805647,3097.739990234375,468.67931205952664,625.4189887199849,128.1909049418169,245.81442101868709,362.5674042838814,404.3939902308305,245.60931886230475,525.6918682303145,593.733139709123
2020-06-22,3650.839554156969,3117.860107421875,471.1209627690624,640.9518191496695,126.71444587331335,244.92700204811587,363.2203079441776,410.08260326525595,243.58630730998797,540.0128728760578,610.2232329213283
2020-06-23,3678.4028679459484,3131.2900390625,482.28273375710353,643.7427199353525,126.48937580959522,246.58855736500382,367.80573924690543,413.62740561980075,244.0858292737057,539.4804087454248,614.3000981930563
2020-06-24,3594.344260827097,3050.330078125,469.3536551594456,630.7816600312153,122.06899646124616,247.0983291741489,355.32487912045326,404.46460354881617,237.99179470005134,525.3430182169164,601.9173244148038
