Date,total,SP500,AMZN,AVGO,BABA,BKNG,CMCSA,COST,FB,FICO,GIB,HD,INTU,LMT,MCD,MSI,MTCH,NFLX,PAYC,PEP,SNPS,TTWO,UI,VZ
2020-04-03,2649.2514227252623,2488.64990234375,163.5961348339707,118.36345905646166,138.68506208999514,13.180455850566132,121.89113500644439,161.30543797542043,119.71954121419446,112.2406426940601,103.50239330931659,132.51793517324478,133.656798739367,142.9597207087946,130.0690098082199,118.16596907701715,107.95904234020811,178.6725526617315,98.89217271191126,149.4240575202839,138.5685358503856,66.46621891109217,120.39805882531482,79.01708836726172
2020-04-06,2841.7729969855195,2663.679931640625,171.40444628885976,127.54918720154993,145.6078239296369,14.529902794281208,130.07704466112628,170.50932093588213,128.54826407368364,128.29932817325786,107.7376342896932,141.88392396384938,146.95576697820593,150.07712119804492,143.62512543002393,131.49252851499654,116.42016168182707,187.66148758839225,108.98456341992043,157.3036400002473,151.2071437449334,68.03686300886514,131.95552334554552,81.90619576269698
2020-04-07,2847.2604345945388,2659.409912109375,172.60658386837667,127.96855837055233,146.756678981593,14.740780026444645,132.62616372784453,169.67667401948847,131.09515710581843,126.59348749525302,109.74889331211995,142.59582148809923,146.73544311146165,144.90935634496196,142.44880368656422,132.92971535870393,121.7929056329623,183.8683544095916,111.48368585407462,156.4880886099582,150.7621121783749,67.34690036343306,131.77560161417483,82.31066903468671
2020-04-08,2904.741994136887,2749.97998046875,175.3008824432791,131.9247870176721,145.25946121111323,14.694621052879894,135.28300150304293,170.98432737866258,135.32703650170328,127.91221658134442,112.28230654482562,144.47199519829567,150.51154186045994,147.4096239226807,143.9902014700769,137.90384912814784,126.11918507064999,183.29543089728762,121.40826129308198,159.0426594541911,154.47805361021,66.80839491610942,136.8389544552004,83.49520262597237
2020-04-09,2932.7990176660155,2789.820068359375,175.28028993233258,128.4889810684106,145.54852694459635,15.214907348306964,136.4319006231401,167.65372265903835,136.03364712633905,128.09087548096926,116.28548144638305,149.4479002225952,154.2876499479852,151.32113090716916,149.02810722854278,142.6819976952658,124.43461435102184,183.09787470366558,133.04087445829623,160.26597738949138,151.95255252067315,66.97667974074969,134.260163457934,82.97516241310842
2020-04-13,2937.0815664779416,2761.6298828125,186.10124593628336,131.32857760060628,147.82400209283628,15.218869957672663,133.52374202141783,167.43577190548456,135.72304319051244,126.76790126624992,115.35720975385861,147.41600387945974,153.05750446761007,150.8887858146483,146.12380180872768,136.47600372836442,124.61966063291624,195.93922323252787,129.66076529943504,156.97981677908348,155.9021206707603,67.31324511036937,131.56141592451579,81.86285540460163
2020-04-14,3053.62025433353,2846.06005859375,195.92169499943552,135.22416916262256,151.7819825389105,15.52313847985219,138.2988651172875,175.54995226032594,138.34759016868605,133.22540399358493,116.22745939374252,153.63033495263633,159.93038015988265,155.00422963324345,149.2633790045243,142.58866869606186,131.46640716035205,204.2515202829331,136.9483703742063,165.98675059520713,164.0237472898862,68.87266793734717,137.56719102918396,83.98635110361776
2020-04-15,3008.9111827366687,2783.360107421875,198.01190818073792,130.07551397163374,154.29463431756926,15.257425323163872,133.41603700889556,173.38727707171725,137.41580205786357,131.85562950760072,113.09454150931663,147.18612006818307,154.20196896305836,152.69974589730109,144.27413437156525,138.6970886613575,132.18745515402262,210.77098018046095,135.68382548766925,161.94502686910604,162.62193605171842,69.27654809275514,130.31914153906473,82.23844245190784
2020-04-16,3049.2196373168695,2799.550048828125,206.6362319234186,130.50499260644298,157.62260550335648,15.073108424841925,135.82155395757005,179.69643976561275,136.85672682170437,128.26528925196618,113.01718369062768,148.20207389745437,157.5557795225862,154.12730373604796,145.62082575897074,142.5513456403839,139.11076726575803,216.90520022502585,123.88341534294901,162.67661663528102,168.918992664719,71.13888103628892,131.74133765588647,83.2929659899775
2020-04-17,3108.4710060579987,2874.56005859375,203.78834841056673,134.33995479309323,155.2804254880997,15.752865234230955,136.71913225114332,177.66231800269176,139.17844236765245,135.81181676587497,116.82697142271039,155.2988596265688,162.4028859139064,163.7653605075011,150.97513405316678,147.2361794483039,142.7542815019249,208.8991024630491,134.83880505651487,164.96733423267924,172.4235292482477,69.8038365489445,135.29681487508384,84.44860784604461
