Date,total,SP500,TEAM,NVDA,PAYC,LOGI,MCD,RACE,EL,FICO,NYT,VZ,WIX,SHOP,SQ,UI,DELL,AMZN,TTWO,MSI,NFLX,COST,TMUS,MTCH,FISV,AMD,PEP,LMT,GPN,SBUX,SNE
2020-03-04,3385.3978456106443,3130.1201171875,203.4433063312366,193.17472155195344,176.0114139267727,39.80707657235018,167.9466516478073,155.03353854432194,152.3392874157538,166.5721745882595,84.76786031565945,5.954869670754581,55.59886443213689,204.60122383988508,67.55800111990413,123.32811749110775,135.1362958899101,169.57122939725102,78.0463173626945,17.28047282292809,129.16149967954337,155.2561266342766,164.1841324482321,75.38975011156484,158.18284088014238,166.24325402783106,22.200368978126182,99.99344921363547,170.1304171924814,15.047387840761559,33.43719568336204
2020-03-05,3281.5646686137216,3023.93994140625,201.7730291018694,185.5566394556244,169.16130273703857,38.82418538435127,160.8887088082332,149.0498875100773,149.36181927385343,161.82049955688458,82.96948203598936,5.856509905834796,54.20404698787237,199.0051849327156,65.05206265313929,122.05157914736833,127.25489499719484,165.12561542318758,76.64119507168898,17.094793079099578,125.45616775022584,152.8455370544506,157.27093727716053,73.3508109492689,154.051304324682,159.60812123984667,21.531505755469574,95.68311133474964,162.94514210316353,14.390116011968109,32.740478750712825
2020-03-06,3212.7716713309906,2972.3701171875,191.36688338142378,180.63408248687176,160.44132836198057,38.34237619469959,161.32678272595442,147.10688391245813,151.19713897303737,152.2618589656141,83.21370718785911,5.826796938042268,53.83657819221815,188.5600314691677,62.298939204694825,122.71983745327599,123.42323114308132,163.1568352889198,76.9156876720408,16.665647093561738,124.17394312872226,150.70600289795183,153.77058258744458,72.14929453148363,150.6107042454688,161.20055159030153,21.400537517024947,95.12845996300048,157.53206262466128,14.22957412919448,32.57533147083543
2020-03-09,2951.4618566373597,2746.56005859375,176.30780951870057,166.64722681773964,144.33786623025475,36.106781848788785,151.59168573928227,133.1385955308887,140.130088711187,134.36546119800678,75.17652642965871,5.720240721469314,45.87073882700306,167.0905427615173,56.02558062976873,109.53456038435083,112.92509463790287,154.53336353433622,74.42567863993071,15.696516236704404,116.60847277472554,146.17524553908535,139.576643252423,68.90155756433555,141.0503595748012,143.55109938670395,20.29356078291516,87.55738106980908,144.53891551732656,13.377764940493918,30.206497837249827
2020-03-10,3107.983531493403,2882.22998046875,179.74116727054232,177.26635962802138,143.52280399327236,37.84129419635235,162.1380408081771,141.46157109425098,147.59740083077128,143.1711561767689,78.75107608276352,5.790936729221604,47.77132026119099,179.88036215776137,57.31263851311997,116.20002453714032,121.92794855733823,162.36125639629617,77.60844355154309,16.173976163573805,122.54508054364462,149.76693301616478,148.73007664125927,71.96724526285331,150.92092369629114,150.55116650290933,20.91409153691105,91.32302614713906,159.47095169117645,14.140805759499079,31.135453747448786
2020-03-11,2973.147886879925,2741.3798828125,173.04676895386433,167.3465685651651,132.2557704154858,36.04896342270212,152.71933397841917,138.2715777363202,135.88443880372174,133.80394881714116,75.13212108664119,5.6177825352994635,45.43214635792338,168.6842739295275,53.221314451892816,110.94818724338624,115.07456112676178,156.27127492937902,77.80450898234425,15.272107252206073,117.76282002120436,143.97278173501044,151.302826121854,68.47920793053979,144.42045132135075,151.6127867365459,20.229636120928873,88.77611422982935,151.03109817367064,12.89992041000951,29.82459549079992
2020-03-12,2679.405926157538,2480.639892578125,165.71608755313437,146.8687290886793,115.05556952147687,32.88829631487908,138.01934148976534,125.6566274687824,123.9430639150078,118.74068758198737,70.33645414364082,5.245859210065755,41.37810300189037,150.89755195848005,45.66088823913724,97.19746335270403,101.99083553064723,143.89133820172853,70.81811360516754,13.39257885836822,106.09490051174707,135.46308321098763,134.34361673007984,60.418119041197706,133.84484690546867,129.41825946121077,17.982937619304785,77.44685918695296,137.8361705926964,11.728916573705144,27.130627288644686
2020-03-13,2899.175985682462,2711.02001953125,169.60016225760555,163.52394514861334,135.81567446311846,35.50933580696378,143.6981480653241,137.53691858878426,135.65601392285814,129.12884188560548,73.62237330185837,5.550159757214278,44.45222052568471,156.13810241453373,49.24079801202078,105.31081832281728,111.99054450724465,153.1936711185865,76.21639494853821,14.679069992985745,113.17910784138549,146.3156111520591,149.44764240919847,62.260441296743515,145.83053191013502,145.64116975846224,19.871037085752867,81.72735171675339,151.76805941923095,13.205891232009128,29.065948820374395
2020-03-16,2538.28710422965,2386.1298828125,159.83031984860793,133.35036670594724,117.62661539798839,32.65702628644482,120.88556237562753,125.00896451961547,117.35008844148626,102.38421996068857,68.60468387849703,5.224343084773357,34.77151472231337,128.73305486593037,35.176869316151176,101.30983120872914,100.33978468691971,144.9675592773335,70.58937392666688,13.759201344985735,100.57224323679418,137.07498329421804,133.94107006553338,54.52340088380116,121.52074557175123,128.42299207411537,17.63213468079157,71.61682983389727,122.67603533503146,11.065978111568722,26.67131129344124
2020-03-17,2692.6893406405343,2529.18994140625,164.88093882475275,147.5205480872167,129.90048572129837,35.29734226313747,119.75791413649064,132.05593683975812,121.09950167143427,104.51545628052648,72.40125601196283,5.564504231589505,36.13866709850578,141.8344310060646,38.12603176535103,114.64074644145109,97.56728081647212,155.15386059322893,76.11836223313763,14.146664034223516,107.60934001151824,148.60035620895061,137.12639229906313,57.01381522816041,128.16222385395784,138.93968412393662,19.913134104504167,79.29982878615891,129.6770667662387,11.139637860640835,28.487933340803497
