Date,total,SP500,ACN,ADBE,BABA,BKNG,DEO,EA,FB,GOOG,GRMN,INTU,MSFT,TXN
2020-03-27,2665.530085753692,2541.469970703125,252.50471340727378,297.92431104903676,46.37967690330269,33.744289900924905,206.25806937341108,246.29740723158227,243.4923719663789,264.6340469389842,236.82147685122254,281.145020509679,303.63601326294884,252.69268835894724
2020-03-30,2770.090650250603,2626.64990234375,263.2634515886353,310.15966361629023,47.038767547119015,35.17132682097267,211.3279783487516,252.28891287441655,257.7177123223632,273.2374914875734,246.99904718360125,291.37782349664315,324.9939752815778,256.51449968265894
2020-03-31,2744.5479315269404,2584.590087890625,253.09379228887627,310.01351731879646,47.828196304952726,36.168478185121586,208.5715260218412,258.69361561162145,259.03775831505106,277.0472422587168,241.42714514704167,281.52446353742255,319.88268982281915,251.25950671467945
2020-04-01,2625.167051775264,2470.5,239.7926451963091,293.4237423580305,46.1263707284142,34.18734868089719,199.36694481508107,251.87569607678458,247.8562772885241,263.4213286766275,229.99351026745205,266.98310700935406,308.52421579354075,243.61586488424896
2020-04-02,2682.2148670649567,2526.89990234375,242.25756053581136,296.1026551244582,46.45591417403592,33.87467987742248,202.9437697093113,264.1686199606771,245.6665639721791,267.0475880810729,236.59602558802908,275.6736522676352,314.9133380916649,256.51449968265894
2020-04-03,2627.684598394474,2488.64990234375,235.8705148086858,286.0201956759809,46.01570360146038,33.08642289760882,198.92393661870884,265.563197097793,239.43908242838893,261.57722444507635,230.4766025654775,267.313597478734,312.01288863327545,251.38523214328475
2020-04-06,2821.513181581315,2663.679931640625,257.4190027930521,310.88052517479895,48.312675979853516,36.47389088535107,207.40659847839405,275.0669667074538,257.0965281473673,282.79160687199374,242.9731142177574,293.91153395641186,335.21660809779866,273.9641302710828
2020-04-07,2799.3623703496796,2659.409912109375,254.4270081602973,300.94418229511376,48.693866086092555,37.00324839482879,207.505039180747,274.57627668608114,262.19031421163686,282.69391349733235,239.07601405550196,293.4708862229233,331.60624240657233,267.17537915255275
2020-04-08,2866.6937577438916,2749.97998046875,266.2244109448104,308.9809205943968,48.19708922984737,36.88737718846096,209.45752989669367,275.8159073757157,270.65407300340655,288.3572789893137,249.1569413559308,301.0230837209199,334.9326477945343,277.00649764986156
2020-04-09,2893.437572334765,2789.820068359375,275.8204616913839,310.4616477680278,48.29300124021706,38.19343310894651,219.12151773829024,273.2333615002999,272.0672942526781,288.636020669205,253.311707125363,308.5752998959704,334.95291961999897,270.77090772438345
2020-04-13,2888.4410001094107,2761.6298828125,267.52663884952466,312.3612226197282,49.048003894403074,38.203380304304396,214.31412147518824,282.27227206425533,271.4460863810249,290.0917944635787,250.63848173867996,306.11500893522015,335.7033795037651,270.72060987973845
2020-04-14,3000.5700395196945,2846.06005859375,276.0995189763,331.9611178124178,50.3612618064105,38.967174600450065,219.54810246041433,289.32261127031416,276.6951803373721,302.40249753790886,264.06898821537226,319.8607603197653,352.3151346181102,278.9676915648588
2020-04-15,2942.137745444552,2783.360107421875,262.68984303544977,323.95360282689313,51.194959666569474,38.30016444759025,217.7104759210687,293.14478783536464,274.83160411572715,300.7918801809578,250.9927658054618,308.4039379261167,348.62365067567345,271.50007300767857
2020-04-16,2990.267436694924,2799.550048828125,260.3644681658738,333.84125009321485,52.29918050601367,37.837480386113455,218.56367040110086,304.99866394595784,273.71345364340874,301.0301368422338,253.34392146934627,315.1115590451724,359.08963824552575,280.07401395096275
2020-04-17,3041.5374566641217,2874.56005859375,271.43325159885813,335.2147755685621,51.52204517695147,39.54384938563547,225.32353234436562,297.3801614947857,278.3568847353049,305.74286058244905,264.4554866261374,324.8057718278128,362.2538071310668,285.50503019219246
2020-04-20,3010.0128170838834,2823.159912109375,270.89067832225226,335.9648901695309,52.1688386394234,37.9512020006108,219.9418903056101,298.05162893930697,276.8039006011579,301.7782662487283,257.82075696157705,323.1411233646937,355.0736193995435,280.42602213144903
2020-04-21,2890.185545391887,2736.56005859375,257.71355406132153,320.4856308602865,50.9908384644857,36.08513637512043,212.000689862542,292.52496263891663,265.24969485163905,289.80109923293253,251.34704987224362,304.9644277046081,340.38877093165496,268.63369053613593
2020-04-22,2991.1246224576207,2799.31005859375,267.1235587329722,328.0645174248866,51.6351739917179,36.428723201513854,217.16902702234353,295.8822801582618,283.0779460765826,300.96818778357687,254.31013063774193,322.9575279245126,351.95005606363543,281.5574934398755
2020-04-23,2982.215444722765,2797.800048828125,268.03820050448735,326.70071323499104,50.47439062117693,36.563146534360776,216.5455358597296,295.59819853570514,287.5039603375644,304.08937331354474,255.40519718207074,315.8704451006595,347.69062056531806,277.7356629331567
