Date,total,SP500,ACN,ADBE,AMZN,AVGO,COST,FICO,GIB,HD,KO,LMT,LOGI,MCD,MSFT,MSI,MTCH,NFLX,NVDA,PAYC,PEP,RACE,SNE,SNPS,TTWO,UI,VZ
2020-02-21,3381.519690311944,3337.75,23.683584870680953,181.65464526195973,179.8819800371585,8.892720757230448,179.91439051916655,174.19101209133484,106.44761007034147,95.40720050155944,10.259614998233246,174.48835028276335,145.0894875992965,175.1262782481884,124.3185386950651,186.71715748243315,145.60656688764786,187.71582420836688,199.6657053593071,180.0267995785927,78.36494223600417,167.13615819908418,155.5333412884377,170.25784897986026,154.81992840125812,120.75788921519919,55.56211454277436
2020-02-24,3276.5184436793106,3225.889892578125,22.841934176078542,174.08549484716215,172.4428669053179,8.5159849822176,175.25935125558752,171.31107528761643,104.25251660557954,93.21393172912587,10.007091711501461,171.04182525475008,137.98195455859954,173.2198291822547,118.95848276701179,183.22005190976077,141.38238342002876,182.10020612870275,185.54984309127505,177.25797109415944,76.64021148398177,157.5565315478532,150.79232920669543,166.39275826100007,150.8036539884208,116.32853072179293,55.36163356283634
2020-02-25,3201.712708559852,3128.2099609375,22.03046267407935,169.40469590217788,169.30603992518118,8.255481899906966,170.36961416177317,166.06595273591455,102.09964535400424,92.3117390518111,9.865473566096751,163.29629583120249,133.81310491660642,172.0678441909564,116.99545404258868,179.50122667591785,135.9075349744891,177.84773633583083,177.92496463059666,173.14671190519078,75.81277590042767,156.12585856300961,149.9667843157276,162.08301170358897,148.0683256435771,114.91491039918604,54.53106326001084
2020-02-26,3214.516689775372,3116.389892578125,21.87062637042321,171.12894573567866,169.89392390673999,8.348936136284166,170.82785647382252,166.05743651456928,102.07150794725058,91.49509396188179,9.82793610088037,163.51655109728634,134.05229992539452,170.44532802651105,118.45728168379364,179.13841408290935,133.4891638548096,187.30588041084397,181.7272196747233,174.95064145804216,76.28559272023594,154.56952931945023,150.81591234739545,161.9461824782592,146.06686140980065,115.67741093145797,54.55015720692846
2020-02-27,3089.8932986110863,2978.760009765625,20.838961885082362,164.39756499877436,161.71587785373237,8.000528604259447,163.80898950691125,155.7373470714898,98.90551828661144,87.3924353188741,9.372370613224122,156.86821528433464,131.59199350911655,163.06287452675832,110.11090174974741,170.1285808381788,129.0352665856201,183.58682892058016,171.508678669217,168.6219089259763,73.27134962543532,150.88654275397644,143.62184873344972,156.00603697857179,143.89193042724722,114.96631287304709,52.5644340708699
2020-02-28,3093.0686356283313,2954.219970703125,20.185089043297918,168.09933833979915,161.66867113144949,7.9616863363371975,157.10865807794033,159.9615226792013,99.07437493324566,84.71306969143487,9.126672438509589,150.86023167051738,133.1296850192903,157.5219803397195,112.77700982186636,166.9741273316877,130.13279187060567,182.2631858434838,183.37034435929831,169.39502420426916,70.93947750962695,152.4912081355581,146.7117620354919,157.2601859963463,143.4115883767165,116.22572577407084,51.70522466856697
2020-03-02,3214.0026005542863,3090.22998046875,21.186576041556464,175.48339785789284,167.69342644369883,8.322360082244115,172.7558167781463,164.65363608933808,101.07246360924894,89.41848962140948,9.541287904940829,155.5426258626411,137.26435649708492,164.32032702996665,120.2810902455045,174.84514454728912,134.10173115088537,188.19983462185522,187.6886050784016,174.97460069758142,73.92148402563603,155.8358712351128,151.33484041820512,161.47873626651284,149.5227181004007,119.84118126134412,54.721999087389044
2020-03-03,3146.077377489262,3003.3701171875,20.367279609596064,169.66772059035446,163.83483738523168,8.009289548999837,169.17373304350605,158.50666387203256,98.76480978210162,88.64073465340041,9.565175797001213,153.9315198942716,135.72667802206155,161.85409552787277,114.51728841031337,176.35686112182844,129.6350814753151,182.13476753497233,180.53224062474632,169.18526197657783,72.84688767381435,151.5052069703537,149.02329672796625,159.75710624252906,148.4019030158732,120.9635121835004,53.17542580504176
2020-03-04,3283.9478623237856,3130.1201171875,21.10945238574876,177.22225934827281,169.57122939725102,8.33637848507439,179.2381974535634,166.5721745882595,101.67751984047482,93.75058455586796,10.05315959042165,163.97745033393812,141.1598460012418,167.9466516478073,118.72180742821921,183.83481726519247,132.1236419761038,189.5531254469377,193.17472155195344,176.0114139267727,76.50588694000406,155.03353854432194,152.82082122194717,167.39609139300484,159.343236755195,123.32811749110775,55.485738755103874
2020-03-05,3193.0659533164876,3023.93994140625,20.40528202663957,170.9779536598099,165.12561542318758,8.003156887681564,176.4552494279042,161.82049955688458,100.2141277757571,91.3123210696957,9.68120009778048,156.90900514061929,137.6744162565648,160.8887088082332,115.7424513345433,181.85950084148487,128.5503171210461,184.11530341976203,185.5566394556244,169.16130273703857,74.20088137269515,149.0498875100773,149.636557361576,162.63027641321364,156.47446931745407,122.05157914736833,54.56925115384608
